
// fish,id,size,score,rate,isboss
FISH,0,40,5,0.002,0
FISH,1,40,5,0.002,0
FISH,3,40,40,0.002,0
FISH,4,40,40,0.002,0
FISH,5,40,40,0.002,0
FISH,6,40,40,0.002,0
FISH,7,40,40,0.002,0
FISH,8,40,40,0.002,0
FISH,9,40,40,0.002,0
FISH,10,40,40,0.002,0
FISH,12,200,200,0.001,0
FISH,13,40,40,0.002,0
FISH,14,40,40,0.002,0
FISH,15,40,40,0.002,0
FISH,16,40,40,0.002,0
FISH,21,40,30,0.002,0
FISH,22,40,30,0.002,0
FISH,23,200,8,0.001,0
FISH,30,800,800,0.0005,0
FISH,32,6000,3000,0.0005,1
FISH,33,8000,4000,0.0005,1
FISH,34,6000,3000,0.0005,1





// path
PATH,0
PATH,1
PATH,2
PATH,3
PATH,4
PATH,5
PATH,6
// PATH,7
// PATH,8
// PATH,9





// bullet,id,level,cost,net_damage
BULLET,0,0,10,15
BULLET,1,1,50,50
BULLET,2,2,100,100


// wave,wave_id,rate,delay_seconds,isboss:0普通，1:boss, wave_delay_sec
WAVE,0,0.1,1,0,5
WAVE,1,0.2,1,0,5
WAVE,2,0,0.5,1,10
WAVE,3,0.3,0.5,0,5
WAVE,4,0.1,1,0,5
WAVE,5,0.3,0.5,0,5
WAVE,6,0,0.5,1,5




// test
// FISH,33,8000,4000,0.0005,1
// WAVE,0,0.1,1,1,5
